epoch,acc,loss,val_acc,val_loss
0,0.6316666666666667,0.6521361994743348,0.84,0.4367412233352661
1,0.8183333333333334,0.4176832290490468,0.92,0.29609777331352233
0,0.845,0.3656674873828888,0.915,0.24739362001419068
1,0.8616666666666667,0.33465200940767925,0.93,0.21474270641803742
2,0.87,0.3109917885065079,0.925,0.20609788715839386
3,0.8833333333333333,0.287377610206604,0.88,0.24407602310180665
4,0.895,0.26242131888866427,0.925,0.19493783116340638
5,0.905,0.24024200598398845,0.935,0.17709052979946135
6,0.9216666666666666,0.22904083602130412,0.94,0.17305366218090057
7,0.91,0.22400197128454843,0.945,0.16178112506866454
8,0.9033333333333333,0.21227660795052847,0.935,0.16506571158766747
9,0.9283333333333333,0.18642561157544454,0.945,0.15566925525665284
10,0.92,0.1986667060852051,0.95,0.14531337440013886
11,0.9316666666666666,0.18729531635840735,0.95,0.15089354902505875
12,0.9266666666666666,0.17958691159884135,0.935,0.17334300115704537
13,0.9266666666666666,0.17737222572167716,0.94,0.152211751639843
14,0.9516666666666667,0.1500244477391243,0.94,0.14524050176143646
15,0.95,0.14559302851557732,0.94,0.1542212948203087
16,0.95,0.14078964958588283,0.95,0.13715631172060966
17,0.9416666666666667,0.13558694884181022,0.955,0.12791772328317166
18,0.94,0.13864862233400344,0.94,0.16540008947253226
19,0.9633333333333334,0.1170862258474032,0.94,0.14250256299972533
